wavelet,wavelet_level,wavelet_mode,wavelet_mse,wavelet_psnr,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,signal_length,signal_type,emd_value,kl_divergence,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,dynamic_cutoff,dominant_frequency,amplitude_max,num_fft_peaks,positive_frequencies,positive_amplitudes,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,max_autocorrelation,upper_envelope,lower_envelope,spectral_magnitude,spectral_centroid,spectral_bandwidth,frequency_max,wavelet_type,htid,max_autocorrelation_diff,frequency_max_diff,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,relative_num_peaks_diff,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,spectral_centroid_diff,lower_envelope_diff,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,spectral_bandwidth_diff,spectral_magnitude_diff,avg_prominence_diff,num_fft_peaks_diff,amplitude_max_diff,prominence_min_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,prominence_max_diff,upper_envelope_diff,dominant_frequency_diff,dynamic_cutoff_diff,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,avg_variance_across_levels_normalized,spectral_centroid_diff_normalized,amplitude_max_diff_normalized,frequency_max_diff_normalized,spectral_bandwidth_diff_normalized,num_fft_peaks_diff_normalized,dominant_frequency_diff_normalized,max_autocorrelation_diff_normalized,reconstruction_weighted_score,reconstruction_normalized_weighted_score,reconstruction_normalized_weighted_rank,signal_weighted_score,signal_normalized_weighted_score,signal_normalized_weighted_rank,reconstruction_missing_metrics_count,reconstruction_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_rank,signal_missing_metrics_count,signal_dynamically_weighted_score,signal_normalized_dynamically_weighted_score,signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank,relative_right_bases_global_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,across_smoothness_normalized,across_wavelet_psnr_normalized,across_wavelet_entropy_normalized,across_wavelet_energy_entropy_normalized,across_wavelet_sparsity_normalized,across_avg_variance_across_levels_normalized,across_prominence_min_diff_normalized,across_avg_prominence_diff_normalized,across_relative_prominences_avg_diff_normalized,across_relative_prominences_wasserstein_normalized,across_spectral_centroid_diff_normalized,across_relative_prominences_total_diff_normalized,across_amplitude_max_diff_normalized,across_frequency_max_diff_normalized,across_spectral_bandwidth_diff_normalized,across_num_fft_peaks_diff_normalized,across_relative_num_peaks_diff_normalized,across_dominant_frequency_diff_normalized,across_max_autocorrelation_diff_normalized,across_relative_right_bases_global_alignment_score_normalized,across_relative_left_bases_global_alignment_score_normalized,across_relative_peaks_global_alignment_score_normalized,across_reconstruction_weighted_score,across_reconstruction_normalized_weighted_score,across_reconstruction_normalized_weighted_rank,across_signal_weighted_score,across_signal_normalized_weighted_score,across_signal_normalized_weighted_rank,across_rank_variability,across_normalized_rank_stability,across_average_rank,across_harmonic_average_rank,across_stability_score_weighted,across_stability_rank,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,across_normalized_family_mean_rank,across_normalized_family_std_dev,across_final_family_stability_score,across_final_family_stability_rank,across_family_informed_rank
sym9,1,reflect,3.8521118445514297e-25,304.87558902519396,6644694.669156152,0.5740740740740741,299.0494992032723,37,raw,5.074139306924661e-13,-2.9944824397887525e-11,4.500425991106151,117153.1843865954,0.9104877924207918,7.755024535789763e-06,1.0,821.9999999999999,,,,[],[],9,317.77777777777777,60.00000000000128,1082.999999999999,"[4, 6, 12, 14, 17, 21, 24, 30, 35]","[465.0, 104.00000000000034, 219.9999999999992, 1082.999999999999, 146.00000000000068, 174.0, 162.00000000000034, 445.9999999999991, 60.00000000000128]","[1, 5, 1, 1, 16, 20, 22, 22, 34]","[8, 8, 13, 36, 22, 22, 25, 36, 36]",21517098.999999985,1087.9999999999995,-1087.9999999999995,0.0,,,,DWT,uc1.l0082986993,1.4901161193847656e-08,,0.0,16.0,4.0,0.0,16,,4.547473508864641e-13,125.42222222222222,644.0,133.24444444444475,,0.0,125.42222222222222,,,1.2789769243681803e-12,0.0,16.0,9.094947017729282e-13,4.547473508864641e-13,,1.1368683772161603e-13,0.7669095394020097,0.900840683449863,0.4871233702176203,0.3196721311475411,0.02247689283013367,,,,,,,0.0004299226139294927,0.00021496130696474635,0.0004299226139294927,123,1.2909873600660173,0.7344305708920209,39,0,0.0004299226139294927,0.0004299226139294927,123,0,0.4994045234094336,0.68471631871848,47,46.3033476111609,0.8950037469134673,83.0,63.3133951137321,0.8533975650667109,11,sym,1.0,1.0,0.0,6,9.75,,,1.4918066781888228e-12,0.7669095394020096,0.9034624285829137,0.5224626499256786,0.3196721311475411,0.07836561744173293,8.415490526658687e-14,0.9999999999903542,0.9999999999903542,0.9999999999922988,,0.9999999999661069,,,,,1.0,,0.0004299226139294927,1.0,1.0,1.0,2.200214961281946,0.81489443012019,120,1.332323362331659,0.6762874813209734,106,9.899494936611665,0.9887760828383088,113.0,112.56637168141593,0.9303290845030546,1,611.3402777777778,679.5,239.37050788406987,144,1.0,0.9442032868749507,0.01673901393751479,6,2.25
sym9,1,periodic,3.432767885320144e-25,305.37613352149333,6294845.564770762,0.5925925925925926,278.1103007113643,37,raw,4.916187577150963e-13,-2.866828996417339e-11,4.449211147972424,126703.67833166695,0.9169765700120087,7.755024535789768e-06,1.0,821.9999999999999,,,,[],[],9,317.77777777777794,60.00000000000146,1082.9999999999998,"[4, 6, 12, 14, 17, 21, 24, 30, 35]","[465.0000000000001, 104.00000000000034, 219.9999999999991, 1082.9999999999998, 146.00000000000068, 174.0, 162.00000000000045, 445.9999999999993, 60.00000000000146]","[1, 5, 1, 1, 16, 20, 22, 22, 34]","[8, 8, 13, 36, 22, 22, 25, 36, 36]",21517098.99999999,1087.9999999999995,-1087.9999999999995,0.0,,,,DWT,uc1.l0082986993,1.1175870895385742e-08,,0.0,16.0,4.0,0.0,16,,4.547473508864641e-13,125.42222222222205,644.0000000000014,133.2444444444447,,0.0,125.42222222222205,,,1.4566126083082054e-12,0.0,16.0,2.2737367544323206e-13,4.547473508864641e-13,,1.1368683772161603e-13,0.7723849308598072,0.8216884202211332,0.367909649594815,0.42622950819672123,0.04955207363087855,,,,,,,0.00032244196044711954,0.00016122098022355977,0.00032244196044711954,125,1.2485426261548982,0.7102841608480767,56,0,0.00032244196044711954,0.00032244196044711954,126,0,0.48755291650067106,0.6684669892208909,53,41.012193308819754,0.9070018292317013,90.0,75.95670990747114,0.85146009828932,13,sym,1.0,1.0,0.0,6,11.25,,,1.4918066781888228e-12,0.7723849308598072,0.826402929484773,0.4114632381122164,0.42622950819672123,0.1038928068830069,9.581224702515101e-14,0.9999999999903493,0.9999999999903493,0.9999999999922975,,0.9999999999661091,,,,,1.0,,0.0003224419604471195,1.0,1.0,1.0,2.2001612209552057,0.814874526295471,125,1.2944129683467178,0.6570441612765865,132,4.949747468305833,0.9943880414191544,128.5,128.4046692607004,0.9243482157209151,2,611.3402777777778,679.5,239.37050788406987,144,1.0,0.9442032868749507,0.01673901393751479,6,3.0
sym9,1,antisymmetric,2.957152132457293e-25,306.02384123084516,6451010.938388688,0.5555555555555556,279.50449286063116,37,raw,4.662696655204116e-13,-2.710531799010606e-11,4.456758169576532,436991.38544406905,0.9739858983114377,7.755024535789764e-06,1.0,821.9999999999999,,,,[],[],9,317.7777777777779,60.00000000000148,1082.9999999999998,"[4, 6, 12, 14, 17, 21, 24, 30, 35]","[465.0000000000001, 104.00000000000011, 219.9999999999992, 1082.9999999999998, 146.00000000000068, 174.0, 162.00000000000034, 445.9999999999992, 60.00000000000148]","[1, 5, 1, 1, 16, 20, 22, 22, 34]","[8, 8, 13, 36, 22, 22, 25, 36, 36]",21517098.999999985,1087.9999999999995,-1087.9999999999995,0.0,,,,DWT,uc1.l0082986993,1.4901161193847656e-08,,0.0,16.0,4.0,0.0,16,,4.547473508864641e-13,125.4222222222221,644.0000000000009,133.2444444444447,,0.0,125.4222222222221,,,1.4779288903810084e-12,0.0,16.0,2.2737367544323206e-13,4.547473508864641e-13,,1.1368683772161603e-13,0.7794701216573374,0.8333523013159465,0.42112417833899907,0.21311475409836095,0.92920246853555,,,,,,,0.0004299226139294927,0.00021496130696474635,0.0004299226139294927,124,1.5518472018754395,0.8828312822150963,12,0,0.0004299226139294927,0.0004299226139294927,118,0,0.6352527647892389,0.8709731573769076,9,63.855957696469744,0.8552019099853294,65.75,18.958825223150015,0.8530544697318938,12,sym,1.0,1.0,0.0,6,10.5,,,1.4918066781888228e-12,0.7794701216573374,0.837758420762505,0.461011070020124,0.21311475409836092,0.9332502334529986,9.725553695716371e-14,0.9999999999903508,0.9999999999903508,0.9999999999922975,,0.9999999999661084,,,,,1.0,,0.0004299226139294927,1.0,1.0,1.0,2.200214961281948,0.8148944301201908,118,1.5756128134067082,0.7997812327264594,32,60.81118318204309,0.9310530802924681,75.0,50.34666666666667,0.923009533343513,3,611.3402777777778,679.5,239.37050788406987,144,1.0,0.9442032868749507,0.01673901393751479,6,3.75
sym9,1,antireflect,3.0286800695845326e-25,305.9200439106342,6356825.226277757,0.5740740740740741,339.04512915452983,37,raw,4.701104370650609e-13,-2.7372437649830824e-11,4.468220969296846,428162.56740492705,0.9746263805603755,7.755024535789763e-06,1.0,821.9999999999999,,,,[],[],9,317.77777777777794,60.00000000000145,1083.0000000000005,"[4, 6, 12, 14, 17, 21, 24, 30, 35]","[465.0000000000001, 104.00000000000011, 219.9999999999992, 1083.0000000000005, 146.00000000000068, 174.0, 162.00000000000034, 445.99999999999943, 60.00000000000145]","[1, 5, 1, 1, 16, 20, 22, 22, 34]","[8, 8, 13, 36, 22, 22, 25, 36, 36]",21517098.999999985,1087.9999999999995,-1087.9999999999995,0.0,,,,DWT,uc1.l0082986993,1.4901161193847656e-08,,0.0,16.0,4.0,0.0,16,,4.547473508864641e-13,125.42222222222205,644.0000000000014,133.2444444444447,,0.0,125.42222222222205,,,1.4495071809506044e-12,0.0,16.0,4.547473508864641e-13,4.547473508864641e-13,,1.1368683772161603e-13,0.7783346962063992,0.8510679963231813,0.38902968665814147,0.3196721311475411,0.9041732034481664,,,,,,,0.0004299226139294927,0.00021496130696474635,0.0004299226139294927,118,1.5765877930527838,0.8969059719174447,8,0,0.0004299226139294927,0.0004299226139294927,122,0,0.6484555427566859,0.889075030914237,5,65.56104026020331,0.8513355096140515,63.25,11.707158395511009,0.8539557366664361,10,sym,1.0,1.0,0.0,6,9.0,,,1.4918066781888228e-12,0.7783346962063992,0.8550057176526518,0.4311280189718392,0.3196721311475411,0.9096519869199995,9.536815781530095e-14,0.9999999999903493,0.9999999999903493,0.9999999999922975,,0.9999999999661091,,,,,1.0,,0.0004299226139294927,1.0,1.0,1.0,2.200214961281947,0.8148944301201904,119,1.6017973332635487,0.8130724978083769,27,65.05382386916237,0.9262428300803147,73.0,44.01369863013699,0.9217381950855088,4,611.3402777777778,679.5,239.37050788406987,144,1.0,0.9442032868749507,0.01673901393751479,6,4.5
bior2.8,1,symmetric,2.4130103780200428e-26,316.9069860097171,6612572.089345029,0.5555555555555556,219.08370015732746,37,raw,1.0869383471357209e-13,-3.9610648094878985e-11,4.380630478695526,138666.44069104735,0.9495802154462938,7.75502453578977e-06,1.0,822.0000000000002,,,,[],[],9,317.7777777777778,60.0,1083.0000000000005,"[4, 6, 12, 14, 17, 21, 24, 30, 35]","[465.0, 103.99999999999989, 220.0, 1083.0000000000005, 146.0000000000001, 173.99999999999977, 162.0, 446.0000000000001, 60.0]","[1, 5, 1, 1, 16, 20, 22, 22, 34]","[8, 8, 13, 36, 22, 22, 25, 36, 36]",21517099.000000007,1088.0000000000005,-1088.0000000000005,0.0,,,,DWT,uc1.l0082986993,7.450580596923828e-09,,0.0,16.0,4.0,0.0,16,,4.547473508864641e-13,125.42222222222216,644.0000000000005,133.2444444444444,,0.0,125.42222222222216,,,0.0,0.0,16.0,4.547473508864641e-13,4.547473508864641e-13,,2.2737367544323206e-13,0.8985194337500031,0.7156973665566011,0.4761773589022147,0.21311475409836095,0.08346591679118048,,,,,,,0.00021496130696474635,0.00010748065348237318,0.00021496130696474635,152,1.2536812913352262,0.7132074991538974,52,0,0.00021496130696474635,0.00021496130696474635,148,0,0.4773949660196721,0.6545397736410432,61,54.13178363955875,0.8772521912935176,103.25,81.69948661112969,0.8215626035832667,19,bior,0.6372195745670115,0.7087506629307012,0.3413210989238815,2,14.75,,,1.4919177004912854e-12,0.8985194337500032,0.723214250208848,0.5122708631802769,0.21311475409836092,0.1358676662719741,0.0,0.9999999999903525,0.9999999999903525,0.9999999999922908,,0.9999999999661077,,,,,1.0,,0.00021496130696474632,1.0,1.0,1.0,2.2001074806284353,0.8148546224707408,144,1.296447185093146,0.6580767299148,129,10.606601717798213,0.9879743744696166,136.5,136.0879120879121,0.916606234853856,5,414.93650793650795,371.5,246.0593406882741,252,0.678732488303899,0.9705875644324239,0.23371098885754354,3,4.5
bior2.8,1,smooth,2.1482942429058783e-26,317.4116402611828,6026716.196380368,0.5555555555555556,230.87860674988391,37,raw,9.832375154301925e-14,-3.976052820320338e-11,4.3700001449394055,226963.29790511227,0.9809278541237535,7.75502453578977e-06,1.0,822.0000000000002,,,,[],[],9,317.7777777777778,60.0,1083.0000000000005,"[4, 6, 12, 14, 17, 21, 24, 30, 35]","[465.0, 103.99999999999989, 220.0, 1083.0000000000005, 146.0000000000001, 173.99999999999977, 162.0, 446.0000000000001, 60.0]","[1, 5, 1, 1, 16, 20, 22, 22, 34]","[8, 8, 13, 36, 22, 22, 25, 36, 36]",21517099.000000007,1088.0000000000005,-1088.0000000000005,0.0,,,,DWT,uc1.l0082986993,7.450580596923828e-09,,0.0,16.0,4.0,0.0,16,,4.547473508864641e-13,125.42222222222216,644.0000000000005,133.2444444444444,,0.0,125.42222222222216,,,0.0,0.0,16.0,4.547473508864641e-13,4.547473508864641e-13,,2.2737367544323206e-13,0.9040397812876252,0.6992682431972523,0.2765425452821807,0.21311475409836095,0.3337831660306336,,,,,,,0.00021496130696474635,0.00010748065348237318,0.00021496130696474635,150,1.2490884310638892,0.7105946641289806,55,0,0.00021496130696474635,0.00021496130696474635,149,0,0.48534969797921057,0.6654462322901211,55,54.56112779870543,0.8762786217716431,102.25,80.4154060021261,0.822209605670402,18,bior,0.6372195745670115,0.7087506629307012,0.3413210989238815,2,14.0,,,1.4919177004912854e-12,0.9040397812876252,0.7072195083650867,0.3263916978161947,0.21311475409836092,0.37187332358519587,0.0,0.9999999999903525,0.9999999999903525,0.9999999999922908,,0.9999999999661077,,,,,1.0,,0.00021496130696474632,1.0,1.0,1.0,2.2001074806284353,0.8148546224707408,149,1.293224702937086,0.6564409976274749,135,9.899494936611665,0.9887760828383088,142.0,141.65492957746477,0.9138891752060024,6,414.93650793650795,371.5,246.0593406882741,252,0.678732488303899,0.9705875644324239,0.23371098885754354,3,5.25
bior2.8,1,reflect,2.073518757316929e-26,317.5654982232287,6747605.621748124,0.5370370370370371,253.31886860757723,37,raw,9.256259422604548e-14,-3.909561563375538e-11,4.4642841052146585,127039.88211907026,0.9520769384573498,7.75502453578977e-06,1.0,822.0000000000002,,,,[],[],9,317.7777777777778,60.0,1083.0000000000005,"[4, 6, 12, 14, 17, 21, 24, 30, 35]","[464.9999999999999, 104.0, 220.0, 1083.0000000000005, 146.0000000000001, 173.99999999999977, 162.0, 446.0, 60.0]","[1, 5, 1, 1, 16, 20, 22, 22, 34]","[8, 8, 13, 36, 22, 22, 25, 36, 36]",21517099.000000007,1088.0000000000005,-1088.0000000000005,0.0,,,,DWT,uc1.l0082986993,7.450580596923828e-09,,0.0,16.0,4.0,0.0,16,,4.547473508864641e-13,125.42222222222216,644.0000000000005,133.24444444444444,,0.0,125.42222222222216,,,0.0,0.0,16.0,4.547473508864641e-13,4.547473508864641e-13,,2.2737367544323206e-13,0.9057228136200721,0.8449835941643113,0.5221910533917108,0.10655737704918081,0.05050519483928864,,,,,,,0.00021496130696474635,0.00010748065348237318,0.00021496130696474635,148,1.2898460407054422,0.733781285038816,40,0,0.00021496130696474635,0.00021496130696474635,152,0,0.4859920066129127,0.6663268795060237,54,59.76342248120222,0.8644820351900177,98.5,70.35537228374183,0.8205630130598613,21,bior,0.6372195745670115,0.7087506629307012,0.3413210989238815,2,16.25,,,1.4919177004912854e-12,0.9057228136200721,0.8490821854180866,0.5551140275158539,0.10655737704918078,0.10479143451643386,0.0,0.9999999999903525,0.9999999999903525,0.9999999999922915,,0.9999999999661077,,,,,1.0,,0.00021496130696474632,1.0,1.0,1.0,2.2001074806284353,0.8148546224707408,147,1.330071319265707,0.6751443440196551,108,27.577164466275352,0.968733373621003,127.5,124.51764705882353,0.9120877752458756,7,414.93650793650795,371.5,246.0593406882741,252,0.678732488303899,0.9705875644324239,0.23371098885754354,3,6.0
bior2.8,1,periodic,2.143381984728502e-26,317.42158214607167,6604796.618113568,0.5555555555555556,249.77093940979455,37,raw,9.870782869748417e-14,-3.928868341773769e-11,4.3996850322316385,140351.56386065646,0.9408815058014433,7.75502453578977e-06,1.0,822.0000000000002,,,,[],[],9,317.7777777777778,60.0,1083.0000000000005,"[4, 6, 12, 14, 17, 21, 24, 30, 35]","[464.9999999999999, 104.0, 220.0, 1083.0000000000005, 146.0000000000001, 173.99999999999977, 162.0, 446.0000000000001, 60.0]","[1, 5, 1, 1, 16, 20, 22, 22, 34]","[8, 8, 13, 36, 22, 22, 25, 36, 36]",21517099.000000007,1088.0000000000005,-1088.0000000000005,0.0,,,,DWT,uc1.l0082986993,7.450580596923828e-09,,0.0,16.0,4.0,0.0,16,,4.547473508864641e-13,125.42222222222216,644.0000000000005,133.24444444444444,,0.0,125.42222222222216,,,0.0,0.0,16.0,4.547473508864641e-13,4.547473508864641e-13,,2.2737367544323206e-13,0.9041485342796116,0.7451460760500231,0.4735278084432348,0.21311475409836095,0.08824315813085334,,,,,,,0.00021496130696474635,0.00010748065348237318,0.00021496130696474635,151,1.2723692277060816,0.7238388904457062,45,0,0.00021496130696474635,0.00021496130696474635,151,0,0.4848360662004168,0.664742009472211,57,57.94250023370871,0.8686111105811594,101.0,75.45587375803623,0.8197930836352509,22,bior,0.6372195745670115,0.7087506629307012,0.3413210989238815,2,17.0,,,1.4919177004912854e-12,0.9041485342796116,0.751884343900194,0.5098038774928879,0.21311475409836092,0.14037177450238558,0.0,0.9999999999903525,0.9999999999903525,0.9999999999922915,,0.9999999999661077,,,,,1.0,,0.00021496130696474632,1.0,1.0,1.0,2.2001074806284353,0.8148546224707408,151,1.3147278427050542,0.6673559936752226,117,24.041630560342615,0.9727419154644642,134.0,131.84328358208955,0.9104072389113704,8,414.93650793650795,371.5,246.0593406882741,252,0.678732488303899,0.9705875644324239,0.23371098885754354,3,6.75
db8,1,periodic,1.9744548840731747e-26,317.7781057608651,6490430.892981631,0.5769230769230769,295.54763343974304,37,raw,9.678744292515961e-14,-3.436151363445125e-11,4.3769692599789956,133856.8150642615,0.9251726725744173,7.755024535789776e-06,1.0,822.0,,,,[],[],9,317.77777777777766,60.00000000000002,1082.9999999999998,"[4, 6, 12, 14, 17, 21, 24, 30, 35]","[465.0, 104.0, 219.99999999999977, 1082.9999999999998, 145.9999999999999, 174.0000000000001, 161.99999999999966, 445.9999999999999, 60.00000000000002]","[1, 5, 1, 1, 16, 20, 22, 22, 34]","[8, 8, 13, 36, 22, 22, 25, 36, 36]",21517098.999999996,1087.9999999999998,-1087.9999999999998,0.0,,,,DWT,uc1.l0082986993,3.725290298461914e-09,,0.0,16.0,4.0,0.0,16,,2.2737367544323206e-13,125.42222222222233,643.9999999999991,133.24444444444447,,0.0,125.42222222222233,,,2.1316282072803006e-14,0.0,16.0,2.2737367544323206e-13,2.2737367544323206e-13,,0.0,0.9080484999557412,0.7100389728203931,0.43455682514271937,0.3360655737704916,0.0698308645961762,,,,,,,0.00010748065348237318,5.374032674118659e-05,0.00010748065348237318,164,1.279485574301668,0.7278873131139147,42,0,0.00010748065348237318,0.00010748065348237318,162,0,0.49170814725710427,0.6741640828065615,49,67.90373087442741,0.8460232859990309,104.25,70.81139002964454,0.8048143640879508,28,db,0.9506373745592623,0.4981433404437726,0.18511083567538458,4,22.0,,,1.4919732116425166e-12,0.9080484999557412,0.7177054628510914,0.47351815298441247,0.3360655737704916,0.12301218201925371,1.4432899320127035e-15,0.9999999999903574,0.9999999999903574,0.9999999999922922,,0.9999999999661054,,,,,1.0,,0.00010748065348237316,1.0,1.0,1.0,2.2000537403016964,0.8148347186460223,154,1.3240720102075425,0.6720990940996119,112,29.698484809834994,0.9663282485149263,133.0,129.68421052631578,0.9077672988606378,9,357.14814814814815,355.0,228.21500765078144,162,0.5842051654871847,0.9002001217393922,0.320996347637153,2,7.25
rbio6.8,1,antisymmetric,1.7128593837726428e-21,268.3953607945656,6369853.020188395,0.5370370370370371,250.87046768701444,37,raw,3.2702633394069996e-11,-8.34832203440056e-12,4.443199369486686,425723.51429441076,0.9761196981792073,7.755024535792925e-06,1.0,821.9999999999947,,,,[],[],9,317.7777777777122,59.999999999931454,1082.99999999992,"[4, 6, 12, 14, 17, 21, 24, 30, 35]","[464.99999999983083, 103.99999999998636, 219.99999999995885, 1082.99999999992, 145.99999999995202, 173.99999999997146, 161.99999999995407, 445.99999999990484, 59.999999999931454]","[1, 5, 1, 1, 16, 20, 22, 22, 34]","[8, 8, 13, 36, 22, 22, 25, 36, 36]",21517098.999999307,1087.9999999999682,-1087.9999999999682,0.0,,,,DWT,uc1.l0082986993,6.92903995513916e-07,,0.0,16.0,4.0,0.0,16,,3.183231456205249e-11,125.42222222228781,643.9999999994097,133.24444444450754,,0.0,125.42222222228781,,,6.854605771877686e-11,0.0,16.0,8.003553375601768e-11,3.183231456205249e-11,,5.343281372915953e-12,0.3678570445504339,0.8123972490672262,0.3934690056791882,0.10655737704918081,0.8972586077916846,,,,,,,0.019991401547721412,0.009995700773860706,0.019991401547721412,106,1.2251737480398135,0.6969898258095911,61,0,0.019991401547721412,0.019991401547721412,106,0,0.5155078568275427,0.70679504380064,33,35.93048844644336,0.9185249695091987,76.5,61.00872051465332,0.8725277908770483,4,rbio,0.8195687550854355,0.8739347944678614,0.16412143309983676,5,4.25,,,1.5398238240038609e-12,0.3678570445504339,0.8173574143478757,0.4352614509091546,0.10655737704918078,0.9031327250715997,4.509614903724923e-12,0.9999999999922433,0.9999999999922433,0.9999999999937745,,0.9999999999651497,,,,,1.0,,0.01999140154772141,1.0,1.0,1.0,2.209995700751267,0.8185169262200086,106,1.2508997002075497,0.6349568217118265,153,33.23401871576773,0.9623197066714652,129.5,125.23552123552125,0.9077471549230341,10,430.37698412698415,442.0,250.80124340055954,252,0.7039892507842027,0.9892921248503246,0.2104198869959607,4,8.5
